filename,domain,path,reason
0000060_msn.com.html,msn.com,2_Data/personal/scanner/logs/playwright/0000060_msn.com.html,"Basically just title text, with root/ssr shell markers"
0000460_bsky.app.html,bsky.app,2_Data/personal/scanner/logs/playwright/0000460_bsky.app.html,"Bluesky shell with splash/root markers and minimal visible text"
0000061_spotify.com.html,spotify.com,2_Data/personal/scanner/logs/playwright/0000061_spotify.com.html,"Title-only/script-heavy web player shell"
0000059_icloud.com.html,icloud.com,2_Data/personal/scanner/logs/playwright/0000059_icloud.com.html,"iCloud root app shell with almost no visible content"
0000018_live.com.html,live.com,2_Data/personal/scanner/logs/playwright/0000018_live.com.html,"Outlook loading shell"
0000137_outlook.com.html,outlook.com,2_Data/personal/scanner/logs/playwright/0000137_outlook.com.html,"Outlook loading shell"
0000282_samsungcloud.com.html,samsungcloud.com,2_Data/personal/scanner/logs/playwright/0000282_samsungcloud.com.html,"Almost no visible content, app-style shell"
0000058_tiktok.com.html,tiktok.com,2_Data/personal/scanner/logs/playwright/0000058_tiktok.com.html,"App shell with very little visible text"
0000213_twitch.tv.html,twitch.tv,2_Data/personal/scanner/logs/playwright/0000213_twitch.tv.html,"Root app container with minimal visible content"
0000048_pinterest.com.html,pinterest.com,2_Data/personal/scanner/logs/playwright/0000048_pinterest.com.html,"shell-loader and __PWS_ROOT__ markers"
0000666_pinimg.com.html,pinimg.com,2_Data/personal/scanner/logs/playwright/0000666_pinimg.com.html,"shell-loader and __PWS_ROOT__ markers"
0000699_shopee.com.br.html,shopee.com.br,2_Data/personal/scanner/logs/playwright/0000699_shopee.com.br.html,"Near-zero visible text with many scripts"
0000723_shopee.co.id.html,shopee.co.id,2_Data/personal/scanner/logs/playwright/0000723_shopee.co.id.html,"Near-zero visible text with many scripts"
0000448_aliexpress.com.html,aliexpress.com,2_Data/personal/scanner/logs/playwright/0000448_aliexpress.com.html,"No visible text after stripping scripts/styles"
0000609_claude.ai.html,claude.ai,2_Data/personal/scanner/logs/playwright/0000609_claude.ai.html,"Root app container plus Loading... text"
0000055_x.com.html,x.com,2_Data/personal/scanner/logs/playwright/0000055_x.com.html,"React root with JavaScript/script-load failure style output"
0000015_twitter.com.html,twitter.com,2_Data/personal/scanner/logs/playwright/0000015_twitter.com.html,"React root with JavaScript-required/loading markers"
